City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Faanui,PF,79.36,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
3,Victoria,HK,80.65,scattered clouds,22.2855,114.1577,Mini Central
6,Emerald,AU,87.35,scattered clouds,-23.5333,148.1667,The Irish Village
8,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Alyangula,AU,87.21,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
26,Hithadhoo,MV,81.21,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Bilma,NE,76.14,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
36,Kapaa,US,81.1,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Norsup,VU,78.08,heavy intensity rain,-16.0667,167.3833,Nabelchel Bungalows
40,Lincoln,US,80.51,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
44,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
51,Madras,IN,75.18,mist,13.0878,80.2785,"Taj Connemara, Chennai"
53,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
62,Ugoofaaru,MV,81.3,overcast clouds,5.6667,73.0,Ungoofaaru Inn
64,San Patricio,US,80.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
66,Butaritari,KI,81.21,few clouds,3.0707,172.7902,Isles Sunset Lodge
72,Ahuimanu,US,84.61,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
75,Samarai,PG,83.23,scattered clouds,-10.6167,150.6667,Nuli Sapi
83,Bontang,ID,79.88,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
85,Rio Tuba,PH,81.7,overcast clouds,8.5061,117.4317,Myra Lodge
88,Cabo San Lucas,MX,83.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
99,Moussoro,TD,88.36,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
101,Cockburn Town,TC,81.36,light rain,21.4612,-71.1419,Osprey Beach Hotel
102,Conde,BR,75.45,clear sky,-7.2597,-34.9075,Pousada Beija Flor
103,Mayumba,GA,76.62,moderate rain,-3.432,10.6554,LIKWALE LODGE
110,Yulara,AU,76.91,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
112,Tautira,PF,78.48,few clouds,-17.7333,-149.15,Pension Oaoa
114,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
115,Ewa Beach,US,84.85,scattered clouds,21.3156,-158.0072,Base Lodging
121,Trinidad,BO,75.29,scattered clouds,-14.8333,-64.9,Hotel Piesta
129,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
133,Porbandar,IN,79.56,clear sky,21.6422,69.6093,Lords Inn Porbandar
135,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
137,Buchanan,LR,76.62,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
140,Adrar,MR,82.78,clear sky,20.5022,-10.0711,
142,Atar,MR,85.01,clear sky,20.5169,-13.0499,Oumou Elghoura
148,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
150,Zabid,YE,81.5,clear sky,14.1951,43.3152,مغرب التريبه
151,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
157,Bubaque,GW,82.11,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
159,Tabou,CI,76.51,light rain,4.423,-7.3528,hotêl doufoulougou
166,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
173,Mabaruma,GY,76.68,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
