City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Faanui,PF,-16.4833,-151.75,79.36,74,28,8.1,scattered clouds
1,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,50,9.42,scattered clouds
2,Bluff,NZ,-46.6,168.3333,48.81,60,61,15.35,broken clouds
3,Victoria,HK,22.2855,114.1577,80.65,65,39,8.99,scattered clouds
4,Mahebourg,MU,-20.4081,57.7,71.26,88,75,3.44,broken clouds
5,Thompson,CA,55.7435,-97.8558,30.36,69,100,9.22,overcast clouds
6,Emerald,AU,-23.5333,148.1667,87.35,46,42,10.85,scattered clouds
7,Hermanus,ZA,-34.4187,19.2345,64.8,84,32,10.94,scattered clouds
8,Vaini,TO,-21.2,-175.2,77.16,65,75,17.27,broken clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,66.54,89,90,3.0,overcast clouds
10,Safranbolu,TR,41.2508,32.6942,48.16,81,0,0.6,clear sky
11,Avarua,CK,-21.2078,-159.775,73.45,100,75,12.66,mist
12,Rocha,UY,-34.4833,-54.3333,52.9,97,14,3.94,few clouds
13,Castro,BR,-24.7911,-50.0119,63.18,77,84,2.68,broken clouds
14,Lensk,RU,60.7253,114.9278,42.87,71,100,15.26,overcast clouds
15,Paamiut,GL,61.994,-49.6678,34.32,97,100,6.31,snow
16,Yellowknife,CA,62.456,-114.3525,28.92,100,75,10.0,light snow
17,Bredasdorp,ZA,-34.5322,20.0403,59.34,94,7,6.24,clear sky
18,Alyangula,AU,-13.8483,136.4192,87.21,67,21,11.36,few clouds
19,Cape Town,ZA,-33.9258,18.4232,65.37,76,0,13.0,clear sky
20,Carnarvon,AU,-24.8667,113.6333,69.84,63,40,17.09,scattered clouds
21,Mnogovershinnyy,RU,53.9353,139.9242,30.18,71,40,6.8,scattered clouds
22,Liwale,TZ,-9.7667,37.9333,65.48,96,87,3.89,overcast clouds
23,Palana,RU,59.1167,159.9667,27.16,68,74,6.35,broken clouds
24,Geraldton,AU,-28.7667,114.6,65.28,63,100,17.83,overcast clouds
25,Busselton,AU,-33.65,115.3333,62.42,76,35,15.28,scattered clouds
26,Hithadhoo,MV,-0.6,73.0833,81.21,74,94,7.78,overcast clouds
27,Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,6.35,snow
28,Port Hardy,CA,50.6996,-127.4199,46.58,87,100,21.85,light rain
29,Pevek,RU,69.7008,170.3133,14.81,94,100,3.89,overcast clouds
30,Chuy,UY,-33.6971,-53.4616,56.17,94,40,5.82,scattered clouds
31,Bilma,NE,18.6853,12.9164,76.14,28,63,13.42,broken clouds
32,Kashi,CN,39.4547,75.9797,47.41,49,90,8.95,overcast clouds
33,Klaksvik,FO,62.2266,-6.589,45.52,81,100,18.79,overcast clouds
34,Jurm,AF,36.8648,70.8342,50.65,40,31,3.98,scattered clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,86,20,4.61,few clouds
36,Kapaa,US,22.0752,-159.319,81.1,82,75,12.66,moderate rain
37,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,75,3.44,light rain
38,Norsup,VU,-16.0667,167.3833,78.08,84,97,6.87,heavy intensity rain
39,Rio Gallegos,AR,-51.6226,-69.2181,53.65,43,75,10.36,light rain
40,Lincoln,US,40.8,-96.667,80.51,50,100,28.77,overcast clouds
41,Iqaluit,CA,63.7506,-68.5145,29.93,92,100,8.99,light snow
42,Porto Belo,BR,-27.1578,-48.5531,68.79,86,33,3.18,scattered clouds
43,Kabelvag,NO,68.2114,14.4817,32.02,70,100,4.47,overcast clouds
44,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,11.5,few clouds
45,Jamestown,US,42.097,-79.2353,58.64,55,0,5.75,clear sky
46,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,3.44,clear sky
47,Ushuaia,AR,-54.8,-68.3,42.46,81,20,10.36,few clouds
48,Nikolskoye,RU,59.7035,30.7861,37.29,88,0,5.99,clear sky
49,San Luis,AR,-33.295,-66.3356,65.82,51,0,10.98,clear sky
50,Rikitea,PF,-23.1203,-134.9692,73.08,81,98,12.5,overcast clouds
51,Madras,IN,13.0878,80.2785,75.18,83,40,4.61,mist
52,Ketchikan,US,55.3422,-131.6461,46.87,93,100,24.16,mist
53,Hilo,US,19.7297,-155.09,80.33,79,100,9.22,overcast clouds
54,Albany,US,42.6001,-73.9662,54.54,81,100,1.77,overcast clouds
