City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2022-10-10 17:00:22,-0.6,73.0833,81.16,77,97,17.56
1,Henties Bay,NA,2022-10-10 17:00:23,-22.116,14.2845,60.8,92,60,4.68
2,Kem,RU,2022-10-10 17:00:25,64.9555,34.5793,46.96,80,100,12.1
3,Norman Wells,CA,2022-10-10 17:00:26,65.282,-126.8329,33.22,92,100,31.32
4,Victoria,HK,2022-10-10 16:57:03,22.2855,114.1577,76.32,44,33,11.99
5,Port Shepstone,ZA,2022-10-10 17:00:27,-30.7414,30.455,69.46,87,29,19.17
6,Sao Miguel Do Araguaia,BR,2022-10-10 17:00:28,-13.275,-50.1628,101.59,17,55,9.78
7,Joshimath,IN,2022-10-10 17:00:28,30.5667,79.5667,57.34,71,54,6.02
8,Riyadh,SA,2022-10-10 17:00:29,24.6877,46.7219,87.75,11,0,6.33
9,Kota Kinabalu,MY,2022-10-10 17:00:30,5.9749,116.0724,76.98,88,20,5.01
10,Adrar,MR,2022-10-10 17:00:30,20.5022,-10.0711,99.32,14,89,10.11
11,Albany,US,2022-10-10 16:58:42,42.6001,-73.9662,58.39,68,99,7.9
12,Bluff,NZ,2022-10-10 17:00:31,-46.6,168.3333,49.77,84,100,21.9
13,Port Lincoln,AU,2022-10-10 17:00:32,-34.7333,135.8667,64.98,41,100,16.31
14,Port Elizabeth,ZA,2022-10-10 16:59:05,-33.918,25.5701,71.1,87,0,20.71
15,Jamestown,US,2022-10-10 16:57:53,42.097,-79.2353,61.18,55,75,10.36
16,Mogadishu,SO,2022-10-10 17:00:12,2.0371,45.3438,77.49,83,7,17.81
17,Ahipara,NZ,2022-10-10 17:00:33,-35.1667,173.1667,53.94,92,98,5.57
18,Ilheus,BR,2022-10-10 17:00:34,-14.7889,-39.0494,83.39,57,14,9.15
19,Port Alfred,ZA,2022-10-10 17:00:35,-33.5906,26.891,69.19,84,97,5.01
